name,email,phone,address,status,tags
Dữ liệu Romeo,romeo.data@example.com,"=""0900000042""","12 Nguyễn Gia Trí, Bình Thạnh, TP.HCM",active,data;saas
Cloud Sierra,sierra.cloud@example.com,"=""0900000043""","88 Trường Sa, Phú Nhuận, TP.HCM",lead,cloud
Nghiên cứu Tango,tango.labs@example.com,"=""0900000044""","65 Phan Đăng Lưu, Phú Nhuận, TP.HCM",active,research
Thuỷ sản Uniform,uniform.fish@example.com,"=""0900000045""","34 Nguyễn Tất Thành, Q4, TP.HCM",lead,seafood
Nông trại Victor,victor.farm@example.com,"=""0900000046""","19 Lê Văn Sỹ, Phú Nhuận, TP.HCM",active,agri
Đồ uống Whiskey,whiskey.wine@example.com,"=""0900000047""","321 Nguyễn Trãi, Q1, TP.HCM",lead,beverage
Giấy Xray,xray.paper@example.com,"=""0900000048""","45 Võ Văn Tần, Q3, TP.HCM",active,paper;b2b
Đồ chơi Yankee,yankee.toys@example.com,"=""0900000049""","27 Sư Vạn Hạnh, Q10, TP.HCM",lead,toys
Nội thất Zulu,zulu.home@example.com,"=""0900000050""","56 Nguyễn Văn Cừ, Q5, TP.HCM",inactive,home
Thực phẩm Atlas,atlas.foods@example.com,"=""0900000051""","24 Điện Biên Phủ, Q3, TP.HCM",lead,fnb
Công nghệ Beacon,beacon.tech@example.com,"=""0900000052""","36 Nguyễn Hữu Cảnh, Bình Thạnh, TP.HCM",active,tech
Nông trại Citrus,citrus.farm@example.com,"=""0900000053""","82 Hoàng Hoa Thám, Tân Bình, TP.HCM",lead,agri
Spa Daisy,daisy.spa@example.com,"=""0900000054""","19 Trường Sơn, Tân Bình, TP.HCM",active,spa
Trang sức Emerald,emerald.gems@example.com,"=""0900000055""","22 Lê Đức Thọ, Gò Vấp, TP.HCM",lead,jewelry
Chăm sóc Flora,flora.care@example.com,"=""0900000056""","48 Nguyễn Kiệm, Phú Nhuận, TP.HCM",inactive,healthcare
Năng lượng Galaxy,galaxy.solar@example.com,"=""0900000057""","60 Nguyễn Văn Trỗi, Phú Nhuận, TP.HCM",lead,renewable
Vận tải Harbor,harbor.ship@example.com,"=""0900000058""","15 Tôn Đức Thắng, Q1, TP.HCM",active,logistics
Resort Island,island.resort@example.com,"=""0900000059""","5 Trần Hưng Đạo, Q1, TP.HCM",lead,travel
Phòng khám Jade,jade.clinic@example.com,"=""0900000060""","110 Nguyễn Đình Chiểu, Q3, TP.HCM",active,healthcare
Siêu thị Kiwi,kiwi.market@example.com,"=""0900000061""","72 Nguyễn Khoái, Q4, TP.HCM",lead,grocery
Dịch vụ Lighthouse,lighthouse.co@example.com,"=""0900000062""","49 Xô Viết Nghệ Tĩnh, Bình Thạnh, TP.HCM",active,services
Thép Magma,magma.steel@example.com,"=""0900000063""","8 Nguyễn Cư Trinh, Q1, TP.HCM",lead,steel;b2b
Ô tô Nexus,nexus.auto@example.com,"=""0900000064""","33 Trần Hưng Đạo, Q1, TP.HCM",active,automotive
Bánh Opal,opal.bakery@example.com,"=""0900000065""","99 Nguyễn Văn Cừ, Q5, TP.HCM",lead,bakery;fnb
Sữa Pearl,pearl.milk@example.com,"=""0900000066""","18 Phạm Viết Chánh, Bình Thạnh, TP.HCM",active,dairy
Truyền thông Quartz,quartz.media@example.com,"=""0900000067""","20 Đoàn Như Hài, Q4, TP.HCM",lead,media
Công nghệ Ripple,ripple.tech@example.com,"=""0900000068""","70 Nguyễn Thị Minh Khai, Q3, TP.HCM",active,tech;saas
Cloud Summit,summit.cloud@example.com,"=""0900000069""","22 Nguyễn Trãi, Q1, TP.HCM",lead,cloud
Xây dựng Timber,timber.house@example.com,"=""0900000070""","14 Phan Xích Long, Phú Nhuận, TP.HCM",active,construction
Vận tải Urban,urban.ride@example.com,"=""0900000071""","301 Võ Văn Kiệt, Q1, TP.HCM",lead,transport
In ấn Vista,vista.print@example.com,"=""0900000072""","77 Võ Văn Tần, Q3, TP.HCM",inactive,printing
Thú cưng Willow,willow.pets@example.com,"=""0900000073""","16 Lê Văn Sỹ, Phú Nhuận, TP.HCM",lead,pets
Nội thất Xena,xena.decor@example.com,"=""0900000074""","27 Trần Hưng Đạo, Q1, TP.HCM",active,interior
Thực phẩm Yummy,yummy.box@example.com,"=""0900000075""","210 Nguyễn Thiện Thuật, Q3, TP.HCM",lead,fnb
Tài chính Zenith,zenith.finance@example.com,"=""0900000076""","35 Nguyễn Thị Minh Khai, Q1, TP.HCM",active,finance
Đồ uống Aqua,aqua.fresh@example.com,"=""0900000077""","66 Trần Quang Khải, Q1, TP.HCM",lead,beverage
Nghiên cứu Bright,bright.labs@example.com,"=""0900000078""","19 Nguyễn Bỉnh Khiêm, Q1, TP.HCM",active,research
Chăm sóc Coral,coral.care@example.com,"=""0900000079""","25 Lê Lợi, Q1, TP.HCM",lead,healthcare
Ô tô Drift,drift.auto@example.com,"=""0900000080""","47 Nguyễn Hữu Cảnh, Bình Thạnh, TP.HCM",active,automotive
Truyền thông Echo,echo.media@example.com,"=""0900000081""","11 Nguyễn Đình Chiểu, Q3, TP.HCM",lead,media
Công nghệ Frost,frost.tech@example.com,"=""0900000082""","72 Hoàng Sa, Phú Nhuận, TP.HCM",active,tech
Logistics Globe,globe.freight@example.com,"=""0900000083""","34 Tôn Đức Thắng, Q1, TP.HCM",lead,logistics
Sách Horizon,horizon.books@example.com,"=""0900000084""","56 Phan Đăng Lưu, Phú Nhuận, TP.HCM",active,books
Spa Ivy,ivy.spa@example.com,"=""0900000085""","44 Nguyễn Văn Đậu, Bình Thạnh, TP.HCM",lead,spa
Năng lượng Jupiter,jupiter.solar@example.com,"=""0900000086""","15 Trường Sa, Phú Nhuận, TP.HCM",active,renewable
Du lịch Kite,kite.travel@example.com,"=""0900000087""","90 Nguyễn Trãi, Q5, TP.HCM",lead,travel
Xây dựng Lava,lava.stone@example.com,"=""0900000088""","61 Nguyễn Thị Minh Khai, Q1, TP.HCM",active,construction
Nông trại Mango,mango.farm@example.com,"=""0900000089""","28 Điện Biên Phủ, Q3, TP.HCM",lead,agri
Dịch vụ Neon,neon.light@example.com,"=""0900000090""","18 Hàm Nghi, Q1, TP.HCM",inactive,services
Chăm sóc Orchid,orchid.care@example.com,"=""0900000091""","75 Trần Cao Vân, Q1, TP.HCM",lead,healthcare
Đồ chơi Panda,panda.toys@example.com,"=""0900000092""","12 Sư Vạn Hạnh, Q10, TP.HCM",active,toys
Thú cưng Quokka,quokka.pet@example.com,"=""0900000093""","22 Nguyễn Văn Trỗi, Phú Nhuận, TP.HCM",lead,pets
Vận tải Raven,raven.ride@example.com,"=""0900000094""","303 Võ Văn Kiệt, Q1, TP.HCM",active,transport
Công nghệ Sakura,sakura.tech@example.com,"=""0900000095""","19 Nguyễn Kiệm, Phú Nhuận, TP.HCM",lead,tech
Thép Taurus,taurus.steel@example.com,"=""0900000096""","40 Mạc Đĩnh Chi, Q1, TP.HCM",active,steel;b2b
Sữa Unity,unity.milk@example.com,"=""0900000097""","33 Nguyễn Văn Cừ, Q5, TP.HCM",lead,dairy
Truyền thông Violet,violet.media@example.com,"=""0900000098""","11 Lê Lai, Q1, TP.HCM",active,media
Cà phê Walnut,walnut.cafe@example.com,"=""0900000099""","66 Lê Văn Sỹ, Phú Nhuận, TP.HCM",lead,coffee;fnb
Dữ liệu Xplore,xplore.data@example.com,"=""0900000100""","120 Nguyễn Đình Chiểu, Q3, TP.HCM",active,data;saas

